Cargo,Category,Year,Tonnage
discharged,Domestic,2000,563.0
discharged,Domestic,2001,650.0
discharged,Domestic,2002,648.0
discharged,Domestic,2003,689.0
discharged,Domestic,2004,810.0
discharged,Domestic,2005,23043.0
discharged,Domestic,2006,23190.0
discharged,Domestic,2007,22051.0
discharged,Domestic,2008,22824.0
discharged,Domestic,2009,20419.97
discharged,Domestic,2010,23455.0
discharged,Domestic,2011,22300.09
discharged,Domestic,2012,16707.0
discharged,Domestic,2013,15523.0
discharged,Domestic,2014,23894.0
discharged,Domestic,2015,29494.0
discharged,Domestic,2016,33284.0
discharged,Domestic,2017,16205.0
discharged,Domestic,2018,14907.0
discharged,Domestic,2019,16152.0
discharged,International,2000,2872.0
discharged,International,2001,2470.0
discharged,International,2002,2976.0
discharged,International,2003,3175.0
discharged,International,2004,3498.0
discharged,International,2005,3985.0
discharged,International,2006,4623.0
discharged,International,2007,6120.0
discharged,International,2008,4583.0
discharged,International,2009,7585.0
discharged,International,2010,10716.0
discharged,International,2011,11400.0
discharged,International,2012,4301.0
discharged,International,2013,5183.0
discharged,International,2014,8217.0
discharged,International,2015,8211.0
discharged,International,2016,10857.0
discharged,International,2017,1546.0
discharged,International,2018,1573.0
discharged,International,2019,1877.0
loaded,Domestic,2000,583.0
loaded,Domestic,2001,600.0
loaded,Domestic,2002,647.0
loaded,Domestic,2003,741.0
loaded,Domestic,2004,835.0
loaded,Domestic,2005,22860.0
loaded,Domestic,2006,25445.0
loaded,Domestic,2007,25944.0
loaded,Domestic,2008,20888.0
loaded,Domestic,2009,20729.16
loaded,Domestic,2010,21315.0
loaded,Domestic,2011,22274.35
loaded,Domestic,2012,17105.0
loaded,Domestic,2013,16428.0
loaded,Domestic,2014,16901.0
loaded,Domestic,2015,16907.0
loaded,Domestic,2016,15640.0
loaded,Domestic,2017,19583.0
loaded,Domestic,2018,20272.0
loaded,Domestic,2019,22329.0
loaded,International,2000,3606.0
loaded,International,2001,3112.0
loaded,International,2002,3559.0
loaded,International,2003,3778.0
loaded,International,2004,4130.0
loaded,International,2005,6098.0
loaded,International,2006,8765.0
loaded,International,2007,12455.0
loaded,International,2008,5898.0
loaded,International,2009,12372.0
loaded,International,2010,22200.0
loaded,International,2011,11186.0
loaded,International,2012,5034.0
loaded,International,2013,6251.0
loaded,International,2014,10163.0
loaded,International,2015,9072.0
loaded,International,2016,11342.0
loaded,International,2017,810.0
loaded,International,2018,1417.0
loaded,International,2019,956.0
