Year,Category,Value
2000,Domestic,263026
2000,International,98978
2001,Domestic,272384
2001,International,100501
2002,Domestic,285734
2002,International,103097
2003,Domestic,316931
2003,International,98349
2004,Domestic,330695
2004,International,124274
2005,Domestic,391132
2005,International,137676
2006,Domestic,379947
2006,International,143959
2007,Domestic,354862
2007,International,152922
2008,Domestic,390954
2008,International,167605
2009,Domestic,417809
2009,International,187247
2010,Domestic,440169
2010,International,207645
2011,Domestic,466894
2011,International,228988
2012,Domestic,455698
2012,International,242893
2013,Domestic,520427
2013,International,274206
2014,Domestic,562835
2014,International,290927
2015,Domestic,576418
2015,International,299186
2016,Domestic,543321
2016,International,300787
2017,Domestic,570679
2017,International,335586
2018,Domestic,568749
2018,International,355044
2019,Domestic,0
2019,International,0
2020,Domestic,0
2020,International,0
